,Median of the Massdistribution in kDa,Sigma parameter of the Massdistribution,Volume fraction,Rate constant,beta,beta,beta,beta,alpha E,alpha E,alpha E,alpha E,alpha ES,alpha ES,alpha ES,alpha ES,alpha P,alpha P,alpha P,alpha P,alpha S,alpha S,alpha S,alpha S
,,,,,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value
11,31.9,0.825,0.2,k2_fwd,-0.28030471024141096,-0.2805699314128192,-0.2800394890700027,0.0,0.0006525541358476652,0.0001338230421032428,0.0011712852295920877,0.013685685287982053,-0.00017608849542156057,-0.000694998385692966,0.00034282139484984487,0.505936736752699,-0.004523075048420206,-0.004683854780864871,-0.00436229531597554,0.0,-0.004524975218649788,-0.0046857549510944535,-0.004364195486205123,0.0
12,31.9,0.825,0.3,k1_bwd,-0.5458545195658431,-0.5462438817391709,-0.5454651573925152,0.0,0.0033191579810836827,0.0025563866662657755,0.0040819292959015895,1.7601988051894243e-17,0.002027015797445844,0.0012648386744233463,0.0027891929204683415,1.9050305716959695e-07,-0.006095476084530837,-0.006331562348294564,-0.00585938982076711,0.0,-0.006092042443633565,-0.006328128707397292,-0.0058559561798698385,0.0
13,31.9,0.825,0.3,k1_fwd,0.6871317192034304,0.6838051486578657,0.6904582897489951,0.0,0.00806990458590156,0.0008646205719753672,0.015275188599827752,0.02815768860429925,0.002201276216698385,-0.004432706273310612,0.008835258706707382,0.5154157618316545,0.00034945983648470387,-0.0017129613016907724,0.00241188097466018,0.7397821374481439,0.007218591060552426,0.005107293678549025,0.009329888442555827,2.2049630453630055e-11
14,31.9,0.825,0.3,k2_bwd,0.6845497882357027,0.6812018931404248,0.6878976833309806,0.0,-0.0011887964806190036,-0.007942633596877951,0.005565040635639943,0.7300696405128645,-0.007777414880116353,-0.014106698166894242,-0.0014481315933384626,0.01602967133302565,0.006853649770706091,0.004737658336056371,0.008969641205355811,2.2922906924492194e-10,0.0015936337106068274,-0.00041550932642278864,0.0036027767476364434,0.12001721489214011
15,31.9,0.825,0.3,k2_fwd,-0.5458582300738906,-0.5462475937868493,-0.5454688663609318,0.0,0.0033072878154746053,0.002544523933175881,0.0040700516977733294,2.282719767189387e-17,0.0020099316871636744,0.0012477547646953455,0.0027721086096320034,2.410073424640496e-07,-0.0060946952279682404,-0.006330781513212157,-0.0058586089427243235,0.0,-0.006091346275883347,-0.006327432561127264,-0.00585525999063943,0.0
16,31.9,0.825,0.4,k1_bwd,-1.0325139418924572,-1.0330753315288828,-1.0319525522560316,0.0,-0.00015248144954778733,-0.0012511111435558953,0.0009461482444603206,0.7855733657166231,-0.0012197739638351215,-0.0023195471768247115,-0.00012000075084553146,0.02972333462028505,-0.008334413364906909,-0.008675447998838537,-0.007993378730975281,0.0,-0.008333941504951564,-0.008674976138883192,-0.007992906871019936,0.0
17,31.9,0.825,0.4,k1_fwd,0.9569497754950622,0.9528092561529035,0.961090294837221,0.0,0.01230337984224113,0.004202455790939152,0.02040430389354311,0.002918374680257832,0.006781594605360833,-0.0013193294459411791,0.014882518656662845,0.10083357488382368,0.002048004065302051,-0.00046196243344909325,0.004557970564053195,0.10975381426632042,0.006951375599710611,0.004441409100959465,0.009461342098461757,5.84840830475268e-08
18,31.9,0.825,0.4,k2_bwd,0.9515050708982282,0.9474172746468341,0.9555928671496223,0.0,-0.0008492231513726953,-0.0088469945015906,0.007148548198845209,0.8351189092362079,-0.0037655772455492858,-0.011763348595767196,0.0042321941046686235,0.35605867279086223,0.008445365786661453,0.005967359817639651,0.010923371755683255,2.549453038771303e-11,0.0030944089087221616,0.0006164029397003612,0.005572414877743962,0.014392148946713269
19,31.9,0.825,0.4,k2_fwd,-1.0325122323483766,-1.033073613320221,-1.0319508513765323,0.0,-0.00013871997354144086,-0.001237332590075349,0.0009598926429924674,0.8045108628626607,-0.001202418341631488,-0.002302173932459335,-0.00010266275080364116,0.03212334274810646,-0.008337824279195579,-0.008678853312064326,-0.007996795246326831,0.0,-0.008337458329006247,-0.008678487361874994,-0.0079964292961375,0.0
20,31.9,0.825,0.5,k1_bwd,-2.2598148445280772,-2.260622571071593,-2.2590071179845617,0.0,0.0031565210652790728,0.0015762044811696138,0.0047368376493885315,9.104835930806097e-05,0.0013153091231342257,-0.0002650074609752307,0.0028956257072436818,0.10281469124876245,-0.009577222085289877,-0.010066862731025602,-0.009087581439554153,3.635191956962629e-293,-0.009584744692469617,-0.01007438533820534,-0.009095104046733894,1.3894412890915086e-293
21,31.9,0.825,0.5,k1_fwd,1.2469149526893548,1.2437249260498695,1.2501049793288401,0.0,0.0056173721794308545,-0.0006239133677650218,0.011858657726626731,0.07771862420089883,0.002214646977652477,-0.0040266385695433985,0.008455932524848352,0.4867104487385824,0.002420739006998922,0.00048695743672440696,0.004354520577273437,0.014153994308096583,0.0032333463940203994,0.0012995648237458855,0.0051671279642949135,0.0010515853740557337
