,Median of the Massdistribution in kDa,Sigma parameter of the Massdistribution,Volume fraction,Rate constant,beta,beta,beta,beta,alpha E,alpha E,alpha E,alpha E,alpha ES,alpha ES,alpha ES,alpha ES,alpha P,alpha P,alpha P,alpha P,alpha S,alpha S,alpha S,alpha S
,,,,,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value
9,31.9,0.825,0.2,k1_fwd,0.45718330812637376,0.45373465063503643,0.4606319656177111,0.0,0.009665609791322277,0.0016549950602600689,0.017676224522384487,0.018042198941695512,0.0020037583399685087,-0.0050062846339492635,0.00901380131388628,0.5752706835054877,-0.0034743517039511197,-0.005637603590259652,-0.0013110998176425882,0.0016484196211356908,0.0032169881358726582,0.0010289500670932709,0.005405026204652046,0.0039614092668525695
10,31.9,0.825,0.2,k2_bwd,0.457640702369273,0.45427795718121705,0.46100344755732897,0.0,0.010486467751046741,0.0030348342470102223,0.01793810125508326,0.005818393288020702,0.00568075320450502,-0.0011164190066832872,0.012477925415693328,0.10139879649882423,0.004700371549560672,0.002538030639549235,0.0068627124595721095,2.0592609146551768e-05,-0.002294808677418065,-0.004400427171040947,-0.00018919018379518274,0.03267825484795289
11,31.9,0.825,0.2,k2_fwd,-0.28030471024141174,-0.28056993141282,-0.2800394890700035,0.0,0.0006525541358477823,0.00013382304210335892,0.0011712852295922057,0.01368568528796536,-0.00017608849542140363,-0.0006949983856928096,0.00034282139485000235,0.5059367367530789,-0.004523075048420276,-0.004683854780864942,-0.004362295315975611,0.0,-0.004524975218649862,-0.004685754951094527,-0.004364195486205196,0.0
12,31.9,0.825,0.3,k1_bwd,-0.5458545195658424,-0.5462438817391703,-0.5454651573925146,0.0,0.0033191579810835804,0.0025563866662656736,0.004081929295901487,1.760198805193316e-17,0.0020270157974457267,0.0012648386744232294,0.002789192920468224,1.9050305716990474e-07,-0.006095476084530829,-0.006331562348294556,-0.005859389820767102,0.0,-0.006092042443633517,-0.006328128707397244,-0.00585595617986979,0.0
13,31.9,0.825,0.3,k1_fwd,0.687131719203433,0.6838051486578682,0.6904582897489977,0.0,0.008069904585901743,0.0008646205719755572,0.015275188599827929,0.028157688604295503,0.0022012762166986125,-0.004432706273310381,0.008835258706707606,0.515415761831611,0.00034945983648481337,-0.0017129613016906625,0.002411880974660289,0.7397821374480653,0.007218591060552488,0.005107293678549087,0.00932988844255589,2.2049630453621577e-11
14,31.9,0.825,0.3,k2_bwd,0.6845497882357049,0.681201893140427,0.6878976833309828,0.0,-0.001188796480618353,-0.007942633596877288,0.005565040635640583,0.7300696405130063,-0.007777414880116387,-0.014106698166894274,-0.001448131593338499,0.016029671333025138,0.006853649770706458,0.004737658336056737,0.008969641205356179,2.2922906924441912e-10,0.0015936337106068172,-0.0004155093264227997,0.003602776747636434,0.12001721489214272
15,31.9,0.825,0.3,k2_fwd,-0.5458582300738879,-0.5462475937868466,-0.5454688663609292,0.0,0.003307287815474851,0.0025445239331761283,0.004070051697773574,2.28271976717686e-17,0.002009931687163928,0.0012477547646956005,0.002772108609632256,2.4100734246319997e-07,-0.006094695227968264,-0.006330781513212181,-0.005858608942724347,0.0,-0.006091346275883362,-0.006327432561127279,-0.005855259990639445,0.0
16,31.9,0.825,0.4,k1_bwd,-1.032513941892441,-1.0330753315288665,-1.0319525522560153,0.0,-0.00015248144954736146,-0.0012511111435554727,0.0009461482444607498,0.7855733657172077,-0.0012197739638346908,-0.002319547176824282,-0.00012000075084509952,0.029723334620342885,-0.008334413364907117,-0.008675447998838745,-0.007993378730975489,0.0,-0.008333941504951446,-0.008674976138883074,-0.007992906871019818,0.0
17,31.9,0.825,0.4,k1_fwd,0.9569497754950627,0.9528092561529039,0.9610902948372214,0.0,0.012303379842241498,0.0042024557909394675,0.02040430389354353,0.0029183746802571705,0.006781594605361296,-0.001319329445940728,0.01488251865666332,0.1008335748838009,0.0020480040653020185,-0.0004619624334491271,0.004557970564053164,0.10975381426632627,0.006951375599710633,0.004441409100959488,0.009461342098461778,5.848408304752123e-08
18,31.9,0.825,0.4,k2_bwd,0.95150507089822,0.947417274646826,0.955592867149614,0.0,-0.0008492231513725478,-0.008846994501590455,0.00714854819884536,0.8351189092362362,-0.0037655772455492233,-0.011763348595767133,0.004232194104668686,0.35605867279087033,0.008445365786661597,0.005967359817639795,0.010923371755683399,2.549453038769342e-11,0.0030944089087220975,0.0006164029397002953,0.0055724148777439,0.014392148946715356
